initial_position,final_configuration,degree,final_rank
56,Medical,0,3.112
81,PaaS,0,3.135
97,Collaboration,0,3.136
98,Cloud Management,0,3.136
107,Web Apps,0,3.184
77,Social Media,0,3.187
91,Robotics,0,3.188
19,Hospital,0,3.311
89,Marketing,0,3.32
94,Email,0,3.321
101,Content,0,3.456
78,Electronics,0,3.458
76,Social Network,0,3.51
59,Telecommunications,0,3.596
108,Business Intelligence,0,3.612
112,Cloud Computing,0,3.669
105,Computer Vision,0,3.681
90,Hardware,0,3.746
104,Data Integration,0,3.77
100,Industrial Automation,0,3.78
60,Transportation,0,3.785
88,Sensor,0,3.916
84,Pharmaceutical,0,3.968
95,Service Industry,0,4.055
66,Travel,0,4.057
102,Apps,0,4.102
109,Analytics,0,4.47
110,Open Source,0,4.586
103,Mobile,0,4.795
115,Risk Management,0,4.899
92,Biotechnology,0,4.9
111,Information Services,0,4.924
114,Internet,0,4.99
83,Health Care,0,5.052
113,Mobile Apps,0,5.194
117,Big Data,0,5.224
119,Compliance,0,5.538
118,Machine Learning,0,5.742
116,Blockchain,0,6.142
122,SaaS,0,6.45
123,Cloud Security,0,6.862
121,Privacy,0,6.87
120,Artificial Intelligence,0,7.136
124,Computer,0,7.444
125,Enterprise Software,0,9.381
126,Network Security,0,10.505
127,Information Technology,0,12.08
129,Security,0,14.352
128,Software,0,15.035
130,Cyber Security,0,15.891
=======
0,Wellness,1,1.0
1,Cosmetics,1,1.0
2,Beauty,1,1.0
5,Home Renovation,1,1.0
3,Home Improvement,1,1.0
4,Home Services,1,1.0
63,File Sharing,1,1.56
65,Virtualization,1,1.56
64,Cloud Infrastructure,1,1.56
70,Identity Management,1,1.56
69,Mobile Devices,1,1.56
71,Web Development,1,1.56
54,Enterprise Applications,1,1.644
55,Quality Assurance,1,1.644
53,Developer Platform,1,1.644
51,Management Consulting,1,1.644
52,Penetration Testing,1,1.644
50,Professional Services,1,1.644
39,Biometrics,1,1.864
40,Wearables,1,1.864
75,Insurance,1,1.864
96,Data Center,1,1.864
68,Optical Communication,1,1.864
80,Real Time,1,2.014
79,Predictive Analytics,1,2.014
62,Marketing Automation,1,2.014
82,Quantum Computing,1,2.014
29,Automotive,1,2.014
28,Manufacturing,1,2.014
27,National Security,1,2.014
30,Aerospace,1,2.014
49,Messaging,1,2.014
42,Drones,1,2.014
43,Military,1,2.014
18,AgTech,1,2.014
16,Consumer Electronics,1,2.014
15,Machinery Manufacturing,1,2.014
17,Livestock,1,2.014
14,Agriculture,1,2.203
13,Cannabis,1,2.203
12,Life Science,1,2.203
36,Ticketing,1,2.206
37,B2B,1,2.206
58,Asset Management,1,2.206
57,Financial Services,1,2.206
44,Scheduling,1,2.206
45,Virtual Assistant,1,2.206
46,Productivity Tools,1,2.206
24,Communications Infrastructure,1,2.206
23,Unified Communications,1,2.206
22,IT Infrastructure,1,2.206
32,Therapeutics,1,2.464
85,Cloud Data Services,1,2.466
72,Training,1,2.466
61,IT Management,1,2.466
48,Infrastructure,1,2.466
41,Video,1,2.466
10,Energy Efficiency,1,2.466
11,Energy,1,2.466
9,Clean Energy,1,2.466
20,Supply Chain Management,1,2.466
21,Logistics,1,2.466
7,E-Commerce,1,2.466
8,Retail,1,2.466
6,Consumer Goods,1,2.466
93,Consulting,2,2.587
87,Internet of Things,2,2.636
34,Medical Device,1,2.845
33,Biopharma,1,2.845
47,Product Research,1,2.846
73,Facial Recognition,1,2.848
74,IaaS,1,2.848
67,Finance,1,2.848
35,Ad Targeting,1,2.848
31,Customer Service,1,2.848
38,Leisure,1,2.848
26,Education,1,2.848
25,E-Learning,1,2.848
86,Developer Tools,2,2.907
99,Software Engineering,3,3.061
106,Developer APIs,2,3.062
81,PaaS,2,3.12
97,Collaboration,2,3.12
98,Cloud Management,2,3.12
107,Web Apps,2,3.168
77,Social Media,2,3.168
91,Robotics,2,3.168
56,Medical,2,3.3
94,Email,2,3.304
89,Marketing,2,3.304
101,Content,2,3.438
78,Electronics,2,3.438
19,Hospital,1,3.485
76,Social Network,2,3.488
59,Telecommunications,2,3.574
108,Business Intelligence,3,3.593
112,Cloud Computing,4,3.651
105,Computer Vision,3,3.663
104,Data Integration,3,3.749
100,Industrial Automation,2,3.758
60,Transportation,2,3.758
90,Hardware,2,3.784
88,Sensor,2,3.89
95,Service Industry,2,4.028
66,Travel,2,4.028
102,Apps,3,4.08
84,Pharmaceutical,3,4.141
109,Analytics,4,4.444
110,Open Source,4,4.562
103,Mobile,4,4.767
115,Risk Management,5,4.873
111,Information Services,4,4.897
114,Internet,5,4.963
113,Mobile Apps,5,5.164
92,Biotechnology,4,5.179
117,Big Data,5,5.196
83,Health Care,3,5.297
119,Compliance,7,5.527
118,Machine Learning,7,5.717
116,Blockchain,7,6.117
122,SaaS,9,6.418
123,Cloud Security,9,6.827
121,Privacy,10,6.835
120,Artificial Intelligence,11,7.102
124,Computer,9,7.405
125,Enterprise Software,18,9.329
126,Network Security,19,10.45
127,Information Technology,26,12.046
129,Security,37,14.275
128,Software,43,14.965
130,Cyber Security,44,15.816
>>>>>>> f7eb1fa81a7d0cde060c611e0db2cd7a6c72d9a1
